loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value
280.0,4.0,1.0,1.0,64.0,218.0,2.0,571.0,37.0,35.0,195.0,47.0
351.0,3.0,0.0,0.0,66.0,209.0,0.0,129.0,108.0,19.0,229.0,63.0
1200.0,1.0,0.0,0.0,18.0,47.0,2.0,560.0,6.0,29.0,55.0,15.0
1073.0,3.0,1.0,0.0,55.0,151.0,7.0,121.0,48.0,30.0,161.0,56.0
1262.0,4.0,1.0,0.0,24.0,69.0,7.0,304.0,14.0,10.0,55.0,14.0
1414.0,0.0,0.0,0.0,66.0,209.0,6.0,0.0,1.0,87.0,162.0,100.0
456.0,4.0,0.0,0.0,70.0,166.0,1.0,392.0,160.0,71.0,217.0,96.0
1219.0,5.0,0.0,1.0,19.0,68.0,4.0,210.0,13.0,29.0,51.0,14.0
1007.0,5.0,0.0,1.0,79.0,200.0,8.0,440.0,17.0,79.0,311.0,74.0
1857.0,5.0,1.0,0.0,47.0,138.0,0.0,488.0,34.0,75.0,158.0,27.0
826.0,3.0,1.0,0.0,32.0,132.0,4.0,46.0,80.0,37.0,79.0,47.0
920.0,2.0,1.0,0.0,73.0,151.0,3.0,30.0,84.0,31.0,234.0,54.0
181.0,5.0,1.0,0.0,16.0,67.0,8.0,161.0,27.0,21.0,57.0,19.0
897.0,2.0,1.0,0.0,51.0,128.0,6.0,114.0,50.0,62.0,179.0,68.0
285.0,1.0,0.0,1.0,69.0,149.0,3.0,86.0,60.0,9.0,240.0,59.0
905.0,2.0,0.0,0.0,54.0,192.0,3.0,126.0,62.0,22.0,208.0,72.0
493.0,1.0,1.0,1.0,23.0,64.0,0.0,196.0,35.0,26.0,91.0,14.0
632.0,2.0,0.0,0.0,43.0,169.0,8.0,103.0,42.0,63.0,135.0,33.0
531.0,4.0,1.0,1.0,76.0,192.0,6.0,429.0,20.0,90.0,201.0,44.0
896.0,5.0,1.0,0.0,23.0,85.0,4.0,458.0,38.0,16.0,79.0,27.0
1603.0,3.0,0.0,1.0,46.0,139.0,5.0,240.0,105.0,7.0,95.0,24.0
1539.0,2.0,0.0,1.0,73.0,148.0,3.0,183.0,196.0,0.0,282.0,67.0
289.0,3.0,0.0,0.0,29.0,107.0,0.0,236.0,60.0,22.0,87.0,24.0
371.0,3.0,1.0,1.0,87.0,207.0,6.0,500.0,3.0,108.0,213.0,64.0
1691.0,4.0,1.0,0.0,84.0,206.0,4.0,551.0,234.0,72.0,234.0,99.0
1612.0,1.0,1.0,0.0,27.0,112.0,9.0,128.0,37.0,38.0,56.0,31.0
177.0,0.0,1.0,0.0,76.0,283.0,5.0,160.0,48.0,75.0,285.0,74.0
