,cibil_score,loan_amount,loan_id,commercial_assets_value,loan_term,bank_asset_value,residential_assets_value,income_annum,no_of_dependents,self_employed
0,571.0,218.0,280.0,35.0,2.0,47.0,37.0,64.0,4.0,1.0
1,129.0,209.0,351.0,19.0,0.0,63.0,108.0,66.0,3.0,0.0
2,560.0,47.0,1200.0,29.0,2.0,15.0,6.0,18.0,1.0,0.0
3,121.0,151.0,1073.0,30.0,7.0,56.0,48.0,55.0,3.0,0.0
4,304.0,69.0,1262.0,10.0,7.0,14.0,14.0,24.0,4.0,0.0
5,0.0,209.0,1414.0,87.0,6.0,100.0,1.0,66.0,0.0,0.0
6,392.0,166.0,456.0,71.0,1.0,96.0,160.0,70.0,4.0,0.0
7,210.0,68.0,1219.0,29.0,4.0,14.0,13.0,19.0,5.0,1.0
8,440.0,200.0,1007.0,79.0,8.0,74.0,17.0,79.0,5.0,1.0
9,488.0,138.0,1857.0,75.0,0.0,27.0,34.0,47.0,5.0,0.0
10,46.0,132.0,826.0,37.0,4.0,47.0,80.0,32.0,3.0,0.0
11,30.0,151.0,920.0,31.0,3.0,54.0,84.0,73.0,2.0,0.0
12,161.0,67.0,181.0,21.0,8.0,19.0,27.0,16.0,5.0,0.0
13,114.0,128.0,897.0,62.0,6.0,68.0,50.0,51.0,2.0,0.0
14,86.0,149.0,285.0,9.0,3.0,59.0,60.0,69.0,1.0,1.0
15,126.0,192.0,905.0,22.0,3.0,72.0,62.0,54.0,2.0,0.0
16,196.0,64.0,493.0,26.0,0.0,14.0,35.0,23.0,1.0,1.0
17,103.0,169.0,632.0,63.0,8.0,33.0,42.0,43.0,2.0,0.0
18,429.0,192.0,531.0,90.0,6.0,44.0,20.0,76.0,4.0,1.0
19,458.0,85.0,896.0,16.0,4.0,27.0,38.0,23.0,5.0,0.0
20,240.0,139.0,1603.0,7.0,5.0,24.0,105.0,46.0,3.0,1.0
21,183.0,148.0,1539.0,0.0,3.0,67.0,196.0,73.0,2.0,1.0
