loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1104,3, Graduate, No,2700000,7800000,14,870,5400000,5300000,5700000,2100000, Approved
718,4, Not Graduate, No,3600000,8700000,14,302,6400000,3700000,7800000,4100000, Rejected
3131,3, Not Graduate, No,7100000,27900000,8,583,8900000,7600000,19600000,6300000, Approved
179,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,20000000,6500000, Approved
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000, Rejected
1189,3, Not Graduate, No,6900000,26000000,14,828,14800000,4200000,18500000,3600000, Approved
801,1, Graduate, No,3100000,10600000,14,665,6200000,800000,9500000,3900000, Approved
2002,4, Not Graduate, No,3900000,8800000,14,527,4600000,4900000,14900000,3100000, Rejected
1853,1, Not Graduate, Yes,3700000,10200000,4,447,300000,2000000,14500000,3200000, Rejected
3912,5, Not Graduate, Yes,1700000,4600000,12,503,900000,2200000,4800000,1200000, Rejected
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved
4167,1, Graduate, No,500000,1300000,14,619,1500000,100000,2000000,500000, Approved
3113,0, Not Graduate, Yes,5200000,15400000,4,675,15300000,8800000,12800000,2900000, Approved
1234,1, Not Graduate, Yes,4600000,10900000,12,463,1200000,1200000,10900000,6600000, Rejected
209,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000, Rejected
432,1, Graduate, No,1100000,3500000,8,562,2300000,1200000,3200000,500000, Approved
1042,0, Not Graduate, Yes,4000000,11000000,8,799,4400000,6100000,14700000,4200000, Approved
1834,1, Graduate, No,7700000,27300000,8,509,10100000,2200000,20200000,10800000, Rejected
1528,0, Graduate, No,5900000,11800000,12,468,9100000,10000000,17500000,6200000, Rejected
585,4, Graduate, Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000, Rejected
204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000, Rejected
1729,3, Not Graduate, Yes,700000,1600000,18,303,600000,500000,2000000,600000, Rejected
3172,0, Graduate, No,8400000,19800000,16,674,500000,12200000,27400000,10700000, Approved
4239,0, Not Graduate, No,2200000,7500000,2,333,3400000,600000,6200000,1500000, Approved
2812,2, Not Graduate, No,4000000,8100000,16,312,3500000,2100000,15100000,3100000, Rejected
1524,2, Graduate, No,6100000,23600000,2,476,4600000,2900000,22500000,3800000, Approved
2376,0, Graduate, Yes,2900000,9700000,2,820,6700000,1600000,9100000,3900000, Approved
2231,4, Graduate, Yes,5800000,15800000,14,528,6300000,100000,21400000,8700000, Rejected
3129,1, Not Graduate, Yes,500000,1700000,18,617,400000,100000,1400000,500000, Approved
2756,0, Graduate, No,8600000,31800000,2,895,22600000,15900000,19600000,5100000, Approved
547,4, Not Graduate, Yes,6600000,22100000,6,887,3600000,3500000,19800000,4700000, Approved
2023,2, Not Graduate, No,9000000,31000000,14,670,21300000,5400000,31100000,12900000, Approved
300,2, Graduate, No,8000000,27100000,12,674,14400000,400000,25300000,6400000, Approved
2631,1, Not Graduate, Yes,6000000,12200000,16,743,8800000,2600000,20600000,2900000, Approved
1465,5, Graduate, Yes,4400000,17300000,20,840,3600000,5100000,12900000,2300000, Approved
369,0, Not Graduate, Yes,1000000,4000000,10,620,2400000,1300000,3700000,1100000, Approved
