loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value
547,4, Not Graduate, Yes,6600000,22100000,6,887,3600000.0,3500000.0,19800000,4700000.0
717,3, Graduate, No,6800000,21200000,2,433,10700000.0,1900000.0,23200000,6300000.0
2469,1, Graduate, No,2000000,5000000,6,876,500000.0,2900000.0,5800000,1500000.0
2195,3, Not Graduate, No,5700000,15400000,16,424,4700000.0,3000000.0,16400000,5600000.0
2598,4, Not Graduate, No,2600000,7200000,16,612,1300000.0,1000000.0,5800000,1400000.0
2889,0, Graduate, No,6800000,21200000,14,300,0.0,8700000.0,16500000,10000000.0
942,4, Graduate, No,7200000,16900000,4,702,15900000.0,7100000.0,22000000,9600000.0
2518,5, Graduate, Yes,2100000,7100000,10,517,1200000.0,2900000.0,5400000,1400000.0
2049,5, Graduate, Yes,8100000,20300000,18,751,1600000.0,7900000.0,31700000,7400000.0
3787,5, Not Graduate, No,4900000,14100000,2,802,3300000.0,7500000.0,16100000,2700000.0
1695,3, Not Graduate, No,3400000,13500000,10,348,7900000.0,3700000.0,8200000,4700000.0
1884,2, Not Graduate, No,7500000,15400000,8,332,8300000.0,3100000.0,23700000,5400000.0
334,5, Not Graduate, No,1800000,7000000,18,466,2600000.0,2100000.0,6000000,1900000.0
1840,2, Not Graduate, No,5300000,13100000,14,417,4900000.0,6200000.0,18200000,6800000.0
563,1, Graduate, Yes,7100000,15200000,8,389,5900000.0,900000.0,24300000,5900000.0
1856,2, Graduate, No,5600000,19500000,8,429,6100000.0,2200000.0,21100000,7200000.0
1018,1, Not Graduate, Yes,2500000,6700000,2,502,3400000.0,2600000.0,9400000,1400000.0
1304,2, Graduate, No,4500000,17200000,18,406,4100000.0,6300000.0,13800000,3300000.0
1089,4, Not Graduate, Yes,7800000,19500000,14,739,1900000.0,9000000.0,20400000,4400000.0
1837,5, Not Graduate, No,2500000,8800000,10,769,3700000.0,1600000.0,8200000,2700000.0
3289,3, Graduate, Yes,4800000,14200000,12,547,10400000.0,700000.0,9800000,2400000.0
3166,2, Graduate, Yes,7500000,15100000,8,488,19800000.0,0.0,28500000,6700000.0
574,3, Graduate, No,3100000,11000000,2,543,5900000.0,2200000.0,9000000,2400000.0
761,3, Not Graduate, Yes,8900000,21000000,14,815,200000.0,10800000.0,21600000,6400000.0
3458,4, Not Graduate, No,8600000,20900000,10,867,24300000.0,7200000.0,23700000,9900000.0
3317,1, Not Graduate, No,2900000,11500000,20,431,3600000.0,3800000.0,5900000,3100000.0
328,0, Not Graduate, No,7800000,28800000,12,465,4700000.0,7500000.0,28800000,7400000.0
1296,3, Graduate, No,1600000,3500000,10,844,4500000.0,2200000.0,5200000,1600000.0
267,2, Graduate, Yes,2800000,7400000,18,666,100000.0,2300000.0,6300000,3400000.0
504,4, Not Graduate, No,2200000,7000000,20,756,3600000.0,3900000.0,5700000,1200000.0
1327,2, Not Graduate, No,2100000,5000000,4,542,700000.0,600000.0,6600000,3100000.0
39,5, Graduate, No,3600000,7700000,16,830,7000000.0,1300000.0,10000000,2900000.0
2201,2, Not Graduate, Yes,3800000,11400000,16,666,9000000.0,2400000.0,8000000,3800000.0
1242,5, Graduate, Yes,7100000,19700000,4,727,7700000.0,12900000.0,23600000,5800000.0
1258,3, Graduate, No,6200000,21300000,12,655,6500000.0,11600000.0,19200000,5000000.0
1740,4, Not Graduate, Yes,2500000,6100000,20,478,5900000.0,800000.0,9500000,3200000.0
1409,3, Not Graduate, Yes,2000000,4200000,16,571,1700000.0,3900000.0,5800000,1300000.0
838,0, Not Graduate, No,4100000,10800000,16,399,5900000.0,7600000.0,12700000,5300000.0
3927,3, Graduate, No,4900000,12800000,14,653,7300000.0,1000000.0,13000000,7200000.0
2436,5, Graduate, Yes,9600000,20600000,6,456,17300000.0,11000000.0,21700000,11600000.0
1907,3, Not Graduate, No,7800000,21100000,12,717,1200000.0,10700000.0,19900000,6200000.0
4184,2, Graduate, No,6600000,21500000,18,471,13700000.0,9800000.0,17100000,4800000.0
3132,1, Graduate, Yes,200000,400000,18,859,300000.0,100000.0,400000,200000.0
2461,5, Graduate, No,1100000,4000000,16,498,400000.0,100000.0,2300000,700000.0
1241,4, Graduate, Yes,2200000,7900000,18,848,5100000.0,1700000.0,8500000,1600000.0
2006,4, Graduate, Yes,6600000,20500000,8,856,18800000.0,5400000.0,15100000,9400000.0
814,5, Not Graduate, Yes,9700000,36400000,16,544,3500000.0,15000000.0,31300000,5200000.0
200,3, Graduate, Yes,4700000,16400000,10,318,11400000.0,8100000.0,16200000,4300000.0
2379,2, Not Graduate, Yes,5100000,13300000,14,313,5900000.0,7900000.0,18000000,3900000.0
3651,1, Not Graduate, No,5700000,21800000,18,657,14100000.0,3200000.0,21800000,3200000.0
3168,2, Graduate, No,5500000,19000000,2,382,12500000.0,1000000.0,15200000,8100000.0
866,5, Not Graduate, Yes,6400000,20300000,16,348,10000000.0,10900000.0,20400000,6900000.0
2945,0, Not Graduate, No,2100000,8200000,4,554,3900000.0,3800000.0,5900000,1700000.0
170,0, Not Graduate, Yes,4800000,17500000,2,371,11700000.0,6800000.0,18700000,3500000.0
